iter	TotalF1	MultiClass
0	0.1991365938	2.222362218
1	0.265532141	2.134975919
2	0.3254058196	2.060147968
3	0.3733720507	1.987077227
4	0.4079985678	1.946575194
5	0.4457835974	1.890361035
6	0.4649243589	1.829007235
7	0.4891832803	1.780482002
8	0.5004855848	1.751931659
9	0.5215748256	1.705227697
10	0.5304960698	1.671383365
11	0.5476997531	1.635040725
12	0.5606328634	1.599371906
13	0.5758520542	1.566814219
14	0.5859974818	1.535514371
15	0.5918856829	1.505727462
16	0.5981175919	1.485338201
17	0.6106054123	1.461328954
18	0.6223865466	1.434289264
19	0.6314683659	1.413809087
20	0.6430672393	1.385098145
21	0.6498565894	1.359741941
22	0.6571535876	1.335760064
23	0.6596808156	1.308363426
24	0.6724082815	1.285324645
25	0.676885518	1.270506981
26	0.6828059562	1.247907127
27	0.6837841191	1.229949278
28	0.6937304254	1.216245303
29	0.6951512707	1.19501188
30	0.6996930629	1.175314959
31	0.705569391	1.156493009
32	0.7074592832	1.136955718
33	0.7200635785	1.115451938
34	0.7224083114	1.102991459
35	0.7229682104	1.083146317
36	0.7336854462	1.061221374
37	0.733775581	1.043571563
38	0.7381855345	1.029037092
39	0.7449921524	1.010040288
40	0.7497101721	0.9963903389
41	0.7511806827	0.9824638154
42	0.751357182	0.9707758315
43	0.757134793	0.9584787632
44	0.7587357662	0.9456007346
45	0.761919005	0.9392588465
46	0.766862863	0.9274590312
47	0.7740989809	0.9116846385
48	0.7782073876	0.8992646212
49	0.7819938995	0.887614023
50	0.7827894954	0.8725827405
51	0.7886935908	0.8551191409
52	0.7906714773	0.840569404
53	0.7966829721	0.8249381531
54	0.7982343891	0.8126132529
55	0.8029936452	0.7999338979
56	0.8075873239	0.7857934169
57	0.8140507235	0.7686139
58	0.8198873421	0.7563410141
59	0.8251827487	0.7390200836
60	0.8289822217	0.7230670457
61	0.8323048883	0.70833592
62	0.8367485348	0.6928729931
63	0.8419173285	0.6791767355
64	0.8450688261	0.6657760099
65	0.8491396665	0.6559123655
66	0.8546689684	0.6463068272
67	0.8565467529	0.6309384332
68	0.8594633903	0.6226428275
69	0.8620370993	0.6106993038
70	0.8683018363	0.5990232575
71	0.8724238469	0.5891415309
72	0.8767524415	0.5807679169
73	0.8824049811	0.569888218
74	0.8860456817	0.5611823415
75	0.8883582154	0.5536835481
76	0.8914190691	0.5455862295
77	0.8905100513	0.5367303242
78	0.8926610108	0.5294574434
79	0.8926744883	0.5218409259
80	0.8972475299	0.5159570556
81	0.8989675704	0.5098834161
82	0.9011205552	0.50344871
83	0.9024555144	0.4968729912
84	0.9064903132	0.4904542142
85	0.9076983329	0.4860095484
86	0.9105020816	0.4792169303
87	0.9114507661	0.4743649758
88	0.9139099664	0.4699428009
89	0.9139088116	0.4644563325
90	0.9142055512	0.4581963997
91	0.9153924106	0.4540556316
92	0.9181854525	0.4484225903
93	0.9182431226	0.4450341963
94	0.9206825004	0.4382853313
