iter	Passed	Remaining
0	378	340488
1	818	367647
2	1266	378585
3	1721	385572
4	2172	388819
5	2630	391970
6	3096	395072
7	3564	397438
8	4024	398467
9	4554	405356
10	5027	406292
11	5472	404970
12	5925	404301
13	6375	403499
14	6816	402165
15	7269	401618
16	7719	400939
17	8164	400057
18	8620	399718
19	9069	399049
20	9514	398270
21	9971	397935
22	10411	396989
23	10852	396134
24	11313	395982
25	11755	395176
26	12218	395076
27	12672	394669
28	13116	393961
29	13561	393281
30	14031	393340
31	14491	393091
32	14957	392965
33	15421	392795
34	15891	392745
35	16358	392594
36	16833	392638
37	17312	392718
38	17771	392338
39	18223	391798
40	18686	391503
41	19141	391035
42	19585	390337
43	20039	389853
44	20485	389233
45	20930	388584
46	21385	388124
47	21845	387756
48	22296	387223
49	22742	386617
50	23187	386001
51	23640	385513
52	24099	385135
53	24556	384721
54	25010	384248
55	25470	383880
56	25932	383534
57	26372	382850
58	26819	382294
59	27266	381729
60	27722	381291
61	28169	380740
62	28620	380249
63	29071	379748
64	29521	379241
65	29969	378699
66	30427	378304
67	30908	378168
68	31380	377933
69	31839	377521
70	32299	377134
71	32768	376835
72	33223	376384
73	33706	376235
74	34169	375864
75	34612	375268
76	35064	374783
77	35513	374256
78	35964	373762
79	36413	373236
80	36867	372766
81	37319	372282
82	37774	371825
83	38250	371571
84	38710	371165
85	39171	370764
86	39622	370268
87	40095	369975
88	40558	369586
89	41023	369211
90	41481	368775
91	41941	368355
92	42403	367953
93	42855	367467
94	43315	367043
95	43792	366763
96	44252	366337
97	44712	365916
98	45158	365376
99	45608	364871
100	46064	364407
101	46518	363942
102	46981	363539
103	47450	363175
104	47919	362816
105	48386	362440
106	48860	362114
107	49393	362217
108	49898	362105
109	50347	361585
110	50802	361112
111	51255	360622
112	51709	360136
113	52150	359564
114	52601	359060
115	53048	358537
116	53504	358070
117	53958	357590
118	54404	357061
119	54853	356549
120	55307	356068
121	55759	355584
122	56216	355126
123	56672	354659
124	57128	354197
125	57561	353591
126	58019	353140
127	58466	352628
128	58917	352137
129	59365	351627
130	59814	351124
131	60267	350645
132	60729	350219
133	61181	349736
134	61635	349265
135	62103	348875
136	62567	348460
137	63024	348006
138	63506	347684
139	63966	347244
140	64442	346894
141	64920	346549
142	65402	346219
143	65905	346006
144	66362	345544
145	66817	345071
146	67275	344614
147	67737	344180
148	68194	343717
149	68644	343224
150	69106	342787
151	69569	342355
152	70050	342009
153	70503	341530
154	70982	341175
155	71450	340765
156	71919	340356
157	72392	339969
158	72836	339445
159	73320	339105
160	73774	338631
161	74228	338150
162	74680	337664
163	75134	337188
164	75591	336724
165	76039	336224
166	76504	335795
167	76956	335309
168	77399	334788
169	77867	334371
170	78319	333888
171	78771	333403
172	79236	332976
173	79699	332540
174	80146	332034
175	80585	331501
176	81046	331053
177	81532	330712
178	81998	330283
179	82443	329773
180	82904	329327
181	83350	328822
182	83811	328375
183	84266	327907
184	84718	327425
185	85163	326916
186	85617	326446
187	86077	325996
188	86532	325528
189	86986	325055
190	87450	324619
191	87932	324249
192	88384	323772
193	88858	323370
194	89330	322963
195	89796	322533
196	90252	322069
197	90713	321619
198	91176	321179
199	91631	320710
200	92082	320225
201	92536	319754
202	92992	319290
203	93450	318832
204	93945	318499
205	94423	318107
206	94891	317679
207	95367	317281
208	95849	316900
209	96337	316536
210	96813	316133
211	97277	315692
212	97731	315217
213	98182	314734
214	98622	314216
215	99078	313748
216	99529	313266
217	99987	312804
218	100432	312304
219	100883	311822
220	101348	311382
221	101796	310891
222	102253	310427
223	102695	309919
224	103143	309429
225	103606	308986
226	104056	308501
227	104504	308013
228	104945	307505
229	105394	307017
230	105834	306507
231	106285	306029
232	106724	305515
233	107167	305015
234	107622	304548
235	108063	304043
236	108507	303545
237	108958	303068
238	109425	302636
239	109874	302154
240	110336	301708
241	110800	301266
242	111264	300825
243	111712	300341
244	112173	299892
245	112634	299442
246	113084	298964
247	113538	298495
248	113989	298020
249	114432	297525
250	114882	297046
251	115316	296528
252	115760	296035
253	116202	295539
254	116636	295021
255	117093	294563
256	117548	294099
257	117998	293623
258	118442	293133
259	118897	292671
260	119350	292201
261	119799	291726
262	120249	291250
263	120687	290745
264	121133	290263
265	121566	289749
266	122020	289284
267	122460	288786
268	122907	288306
269	123350	287818
270	123792	287325
271	124237	286842
272	124682	286358
273	125119	285856
274	125553	285348
275	126003	284878
276	126449	284397
277	126905	283940
278	127365	283490
279	127812	283014
280	128264	282546
281	128713	282074
282	129169	281617
283	129626	281161
284	130065	280668
285	130503	280171
286	130942	279678
287	131392	279210
288	131851	278758
289	132294	278275
290	132734	277785
291	133183	277313
292	133630	276838
293	134102	276414
294	134578	275999
295	135035	275546
296	135491	275089
297	135936	274610
298	136379	274127
299	136820	273640
300	137243	273119
301	137697	272659
302	138157	272210
303	138618	271765
304	139115	271389
305	139606	271001
306	140079	270577
307	140528	270107
308	140981	269644
309	141415	269145
310	141860	268669
311	142334	268246
312	142823	267850
313	143297	267427
314	143764	266991
315	144234	266560
316	144729	266175
317	145233	265805
318	145721	265404
319	146187	264965
320	146624	264472
321	147072	263999
322	147527	263539
323	147979	263074
324	148429	262605
325	148884	262146
326	149353	261710
327	149833	261294
328	150308	260869
329	150778	260434
330	151234	259977
331	151694	259525
332	152176	259112
333	152633	258654
334	153090	258197
